full_name,filename
Michael van Lingen,michael_van_lingen.svg
Divan la Cock,divan_la_cock.svg
Jan Nicol Loftie-Eaton,jan_nicol_loftie-eaton.svg
Stephan Baard,stephan_baard.svg
Gerhard Erasmus(c),gerhard_erasmus_c.svg
Jan Frylinck,jan_frylinck.svg
David Wiese,david_wiese.jpg
JJ Smit,jj_smit.svg
Pathum Nissanka,pathum_nissanka.svg
Kusal Mendis†,kusal_mendis.svg
Dhananjaya de Silva,dhananjaya_de_silva.svg
Danushka Gunathilaka,danushka_gunathilaka.svg
Bhanuka Rajapaksa,bhanuka_rajapaksa.svg
Dasun Shanaka(c),dasun_shanaka_c.svg
Wanindu Hasaranga de Silva,wanindu_hasaranga_de_silva.jpg
Chamika Karunaratne,chamika_karunaratne.jpg
Pramod Madushan,pramod_madushan.svg
Dushmantha Chameera,dushmantha_chameera.svg
Maheesh Theekshana,maheesh_theekshana.svg
Gerhard Erasmus,gerhard_erasmus.svg
Bernard Scholtz,bernard_scholtz.svg
Ben Shikongo,ben_shikongo.svg
Charith Asalanka,charith_asalanka.svg
David Warner,OIP.png
Aaron Finch(c),aaron_finch_c.svg
Mitchell Marsh,mitchell_marsh.jpg
Glenn Maxwell,glenn_maxwell.jpg
Marcus Stoinis,marcus_stoinis.jpg
Josh Hazlewood,josh_hazlewood.jpg
Pat Cummins,pat_cummins.jpg
Mitchell Starc,mitchell_starc.jpg
Ashton Agar,ashton_agar.jpg
Binura Fernando,binura_fernando.svg
Lahiru Kumara,lahiru_kumara.svg
Dasun Shanaka,dasun_shanaka.svg
Regis Chakabva†,regis_chakabva.svg
Craig Ervine(c),craig_ervine_c.svg
Wessly Madhevere,wessly_madhevere.svg
Sean Williams,sean_williams.svg
Sikandar Raza,sikandar_raza.jpg
Milton Shumba,milton_shumba.svg
Ryan Burl,ryan_burl.svg
Luke Jongwe,luke_jongwe.svg
Paul Stirling,paul_stirling.jpg
Andy Balbirnie(c),andy_balbirnie_c.svg
Lorcan Tucker†,lorcan_tucker.svg
Harry Tector,harry_tector.svg
Curtis Campher,curtis_campher.svg
George Dockrell,george_dockrell.svg
Gareth Delany,gareth_delany.svg
Mark Adair,mark_adair.svg
Simi Singh,simi_singh.svg
Barry McCarthy,barry_mccarthy.svg
Josh Little,josh_little.svg
Richard Ngarava,richard_ngarava.svg
Tendai Chatara,tendai_chatara.svg
Blessing Muzarabani,blessing_muzarabani.svg
Hazratullah Zazai,ZAZAI-min.png
Rahmanullah Gurbaz†,rahmanullah_gurbaz.svg
Ibrahim Zadran,ibrahim_zadran.svg
Usman Ghani,f56507e83d895a34b77373e3592d195e.png
Najibullah Zadran,OIP.png
Mohammad Nabi(c),mohammad_nabi_c.svg
Azmatullah Omarzai,OIP.png
Rashid Khan,rashid_khan.svg
Mujeeb Ur Rahman,OIP.png
Fareed Ahmad,afghanistan-s-fareed-ahmad-celebrates-the-1437946.png
Fazalhaq Farooqi,fazalhaq_farooqi.svg
Jos Buttler(c)†,jos_buttler_c.svg
Alex Hales,alex_hales.svg
Dawid Malan,dawid_malan.svg
Ben Stokes,ben_stokes.svg
Liam Livingstone,liam_livingstone.svg
Harry Brook,harry_brook.svg
Moeen Ali,moeen_ali.svg
Chris Woakes,chris_woakes.svg
Mark Wood,mark_wood.svg
Sam Curran,sam_curran.svg
Adil Rashid,adil_rashid.svg
Mohammad Nabi,Mohammad-Nabi.jpg
Muhammad Waseem,muhammad_waseem.svg
Vriitya Aravind†,vriitya_aravind.svg
Chundangapoyil Rizwan(c),chundangapoyil_rizwan_c.svg
Alishan Sharafu,alishan_sharafu.svg
Basil Hameed,basil_hameed.svg
Zane Green†,zane_green.svg
Ruben Trumpelmann,ruben_trumpelmann.svg
Junaid Siddique,junaid_siddique.svg
Zahoor Khan,zahoor_khan.svg
Ahmed Raza,ahmed_raza.svg
Karthik Meiyappan,karthik_meiyappan.svg
Aayan Afzal Khan,aayan_afzal_khan.svg
Chirag Suri,chirag_suri.svg
Kashif Daud,kashif_daud.svg
Zawar Farid,zawar_farid.svg
Vikramjit Singh,vikramjit_singh.svg
Max O'Dowd,max_o_dowd.svg
Bas de Leede,bas_de_leede.svg
Colin Ackermann,colin_ackermann.svg
Tom Cooper,tom_cooper.svg
Scott Edwards(c)†,scott_edwards_c.svg
Roelof van der Merwe,roelof_van_der_merwe.svg
Tim Pringle,tim_pringle.svg
Logan van Beek,logan_van_beek.svg
Fred Klaassen,fred_klaassen.svg
Paul van Meekeren,paul_van_meekeren.svg
Kyle Mayers,kyle_mayers.svg
Johnson Charles,johnson_charles.svg
Evin Lewis,evin_lewis.svg
Brandon King,brandon_king.svg
Nicholas Pooran(c)†,nicholas_pooran_c.svg
Rovman Powell,rovman_powell.svg
Odean Smith,odean_smith.svg
Obed McCoy,obed_mccoy.svg
Akeal Hosein,akeal_hosein.svg
Alzarri Joseph,alzarri_joseph.svg
Jason Holder,jason_holder.svg
Mohammad Rizwan†,mohammad_rizwan.svg
Babar Azam(c),babar_azam_c.svg
Shan Masood,shan_masood.svg
Iftikhar Ahmed,iftikhar_ahmed.svg
Shadab Khan,shadab_khan.svg
Haider Ali,haider_ali.svg
Mohammad Nawaz,mohammad_nawaz.svg
Asif Ali,asif_ali.svg
Shaheen Shah Afridi,shaheen_shah_afridi.jpg
Haris Rauf,haris_rauf.svg
KL Rahul,kl_rahul.svg
Rohit Sharma(c),rohit_sharma_c.svg
Virat Kohli,virat_kohli.svg
Suryakumar Yadav,suryakumar_yadav.svg
Axar Patel,axar_patel.svg
Hardik Pandya,hardik_pandya.svg
Dinesh Karthik†,dinesh_karthik.svg
Ravichandran Ashwin,ravichandran_ashwin.svg
Bhuvneshwar Kumar,bhuvneshwar_kumar.svg
Arshdeep Singh,arshdeep_singh.svg
