name,filename,result,image_url
Michael van Lingen,michael_van_lingen.svg,no_url,
Divan la Cock,divan_la_cock.svg,no_url,
Jan Nicol Loftie-Eaton,jan_nicol_loftie-eaton.svg,no_url,
Stephan Baard,stephan_baard.svg,no_url,
Gerhard Erasmus(c),gerhard_erasmus_c.svg,no_url,
Jan Frylinck,jan_frylinck.svg,no_url,
David Wiese,david_wiese.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/DAVID_WIESE_%2815702924581%29.jpg/500px-DAVID_WIESE_%2815702924581%29.jpg
JJ Smit,jj_smit.svg,no_url,
Pathum Nissanka,pathum_nissanka.svg,no_url,
Kusal Mendis†,kusal_mendis.svg,no_url,
Dhananjaya de Silva,dhananjaya_de_silva.svg,no_url,
Danushka Gunathilaka,danushka_gunathilaka.svg,no_url,
Bhanuka Rajapaksa,bhanuka_rajapaksa.svg,no_url,
Dasun Shanaka(c),dasun_shanaka_c.svg,no_url,
Wanindu Hasaranga de Silva,wanindu_hasaranga_de_silva.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Waniya.jpg/500px-Waniya.jpg
Chamika Karunaratne,chamika_karunaratne.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Chamika_Karunaratne.jpg/500px-Chamika_Karunaratne.jpg
Pramod Madushan,pramod_madushan.svg,no_url,
Dushmantha Chameera,dushmantha_chameera.svg,no_url,
Maheesh Theekshana,maheesh_theekshana.svg,no_url,
Gerhard Erasmus,gerhard_erasmus.svg,no_url,
Bernard Scholtz,bernard_scholtz.svg,no_url,
Ben Shikongo,ben_shikongo.svg,no_url,
Charith Asalanka,charith_asalanka.svg,no_url,
David Warner,OIP.png,no_url,
Aaron Finch(c),aaron_finch_c.svg,no_url,
Mitchell Marsh,mitchell_marsh.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Mitchell_Marsh.jpg/400px-Mitchell_Marsh.jpg
Glenn Maxwell,glenn_maxwell.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Glenn_Maxwell_3.jpg/500px-Glenn_Maxwell_3.jpg
Marcus Stoinis,marcus_stoinis.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/2018.01.21.15.22.25-Stoinis_%2839081521620%29.jpg/500px-2018.01.21.15.22.25-Stoinis_%2839081521620%29.jpg
Josh Hazlewood,josh_hazlewood.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/2018_Josh_Hazlewood_%28cropped%29.jpg/500px-2018_Josh_Hazlewood_%28cropped%29.jpg
Pat Cummins,pat_cummins.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Pat_Cummins_fielding_Ashes_2021_%28cropped%29.jpg/500px-Pat_Cummins_fielding_Ashes_2021_%28cropped%29.jpg
Mitchell Starc,mitchell_starc.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/3/38/Mitchell_Starc_2023.jpg
Ashton Agar,ashton_agar.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/8/8a/2018.02.03.20.31.23-AUSvNZL_T20_NZL_innings%2C_SCG-0002_%2838618210190%29_%28Agar_cropped%29.jpg
Binura Fernando,binura_fernando.svg,no_url,
Lahiru Kumara,lahiru_kumara.svg,no_url,
Dasun Shanaka,dasun_shanaka.svg,no_url,
Regis Chakabva†,regis_chakabva.svg,no_url,
Craig Ervine(c),craig_ervine_c.svg,no_url,
Wessly Madhevere,wessly_madhevere.svg,no_url,
Sean Williams,sean_williams.svg,no_url,
Sikandar Raza,sikandar_raza.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Sikandar_Raza_2022.jpg/500px-Sikandar_Raza_2022.jpg
Milton Shumba,milton_shumba.svg,no_url,
Ryan Burl,ryan_burl.svg,no_url,
Luke Jongwe,luke_jongwe.svg,no_url,
Paul Stirling,paul_stirling.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Paul_Stirling.jpg/500px-Paul_Stirling.jpg
Andy Balbirnie(c),andy_balbirnie_c.svg,no_url,
Lorcan Tucker†,lorcan_tucker.svg,no_url,
Harry Tector,harry_tector.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Harry_Tector_2022.jpg/500px-Harry_Tector_2022.jpg
Curtis Campher,curtis_campher.svg,no_url,
George Dockrell,george_dockrell.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/George_Dockrell_2022.jpg/500px-George_Dockrell_2022.jpg
Gareth Delany,gareth_delany.svg,no_url,
Mark Adair,mark_adair.svg,no_url,
Simi Singh,simi_singh.svg,no_url,
Barry McCarthy,barry_mccarthy.svg,no_url,
Josh Little,josh_little.svg,no_url,
Richard Ngarava,richard_ngarava.svg,no_url,
Tendai Chatara,tendai_chatara.svg,no_url,
Blessing Muzarabani,blessing_muzarabani.svg,no_url,
Hazratullah Zazai,ZAZAI-min.png,no_url,
Rahmanullah Gurbaz†,rahmanullah_gurbaz.svg,no_url,
Ibrahim Zadran,ibrahim_zadran.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Ibrahim_Zadran.jpg/500px-Ibrahim_Zadran.jpg
Usman Ghani,f56507e83d895a34b77373e3592d195e.png,no_url,
Najibullah Zadran,OIP.png,no_url,
Mohammad Nabi(c),mohammad_nabi_c.svg,no_url,
Azmatullah Omarzai,OIP.png,no_url,
Rashid Khan,rashid_khan.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Rashid_Khan.jpg/500px-Rashid_Khan.jpg
Mujeeb Ur Rahman,OIP.png,no_url,
Fareed Ahmad,afghanistan-s-fareed-ahmad-celebrates-the-1437946.png,no_url,
Fazalhaq Farooqi,fazalhaq_farooqi.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Fazalhaq_Farooqi.jpg/500px-Fazalhaq_Farooqi.jpg
Jos Buttler(c)†,jos_buttler_c.svg,no_url,
Alex Hales,alex_hales.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Alex_Hales_2.JPG/500px-Alex_Hales_2.JPG
Dawid Malan,dawid_malan.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/3_03_Malan_continues_%28cropped%29.jpg/500px-3_03_Malan_continues_%28cropped%29.jpg
Ben Stokes,ben_stokes.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/BEN_STOKES_%2811704837023%29_%28cropped%29.jpg/500px-BEN_STOKES_%2811704837023%29_%28cropped%29.jpg
Liam Livingstone,liam_livingstone.svg,no_url,
Harry Brook,harry_brook.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/2_31_A_fine_century_Harry_Brook.jpg/500px-2_31_A_fine_century_Harry_Brook.jpg
Moeen Ali,moeen_ali.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/2018.01.06.17.47.32-Moeen_Ali_%2838876905344%29_%28cropped%29.jpg/500px-2018.01.06.17.47.32-Moeen_Ali_%2838876905344%29_%28cropped%29.jpg
Chris Woakes,chris_woakes.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Chris_Woakes_2022.jpg/500px-Chris_Woakes_2022.jpg
Mark Wood,mark_wood.svg,no_url,
Sam Curran,sam_curran.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/The_Prime_Minister_welcomes_the_World_Cup_winning_cricketers_%2852764650104%29_-_Sam_Curran_%28cropped%29.jpg/400px-The_Prime_Minister_welcomes_the_World_Cup_winning_cricketers_%2852764650104%29_-_Sam_Curran_%28cropped%29.jpg
Adil Rashid,adil_rashid.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/1_13_Adil_Rashid_%28cropped%29.jpg/500px-1_13_Adil_Rashid_%28cropped%29.jpg
Mohammad Nabi,Mohammad-Nabi.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/4/49/Mohammad_Nabi-Australia.jpg
Muhammad Waseem,muhammad_waseem.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/M.Waseem.jpg/500px-M.Waseem.jpg
Vriitya Aravind†,vriitya_aravind.svg,no_url,
Chundangapoyil Rizwan(c),chundangapoyil_rizwan_c.svg,no_url,
Alishan Sharafu,alishan_sharafu.svg,no_url,
Basil Hameed,basil_hameed.svg,no_url,
Zane Green†,zane_green.svg,no_url,
Ruben Trumpelmann,ruben_trumpelmann.svg,no_url,
Junaid Siddique,junaid_siddique.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/5/50/Junaid_Siddique_training%2C_23_January%2C_2009%2C_Dhaka_SBNS.jpg
Zahoor Khan,zahoor_khan.svg,no_url,
Ahmed Raza,ahmed_raza.svg,no_url,
Karthik Meiyappan,karthik_meiyappan.svg,no_url,
Aayan Afzal Khan,aayan_afzal_khan.svg,no_url,
Chirag Suri,chirag_suri.svg,no_url,
Kashif Daud,kashif_daud.svg,no_url,
Zawar Farid,zawar_farid.svg,no_url,
Vikramjit Singh,vikramjit_singh.svg,no_url,
Max O'Dowd,max_o_dowd.svg,no_url,
Bas de Leede,bas_de_leede.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/1_02_Bas_de_Leede.jpg/500px-1_02_Bas_de_Leede.jpg
Colin Ackermann,colin_ackermann.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Colin_Ackermann.jpg/500px-Colin_Ackermann.jpg
Tom Cooper,tom_cooper.svg,no_url,
Scott Edwards(c)†,scott_edwards_c.svg,no_url,
Roelof van der Merwe,roelof_van_der_merwe.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Roelof_van_der_Merwe.jpg/500px-Roelof_van_der_Merwe.jpg
Tim Pringle,tim_pringle.svg,no_url,
Logan van Beek,logan_van_beek.svg,no_url,
Fred Klaassen,fred_klaassen.svg,no_url,
Paul van Meekeren,paul_van_meekeren.svg,no_url,
Kyle Mayers,kyle_mayers.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Kyle_Mayers_batting_at_Perth_Stadium%2C_First_Test_Australia_versus_West_Indies%2C_2_December_2022_08.jpg/500px-Kyle_Mayers_batting_at_Perth_Stadium%2C_First_Test_Australia_versus_West_Indies%2C_2_December_2022_08.jpg
Johnson Charles,johnson_charles.svg,no_url,
Evin Lewis,evin_lewis.svg,no_url,
Brandon King,brandon_king.svg,no_url,
Nicholas Pooran(c)†,nicholas_pooran_c.svg,no_url,
Rovman Powell,rovman_powell.svg,no_url,
Odean Smith,odean_smith.svg,no_url,
Obed McCoy,obed_mccoy.svg,no_url,
Akeal Hosein,akeal_hosein.svg,no_url,
Alzarri Joseph,alzarri_joseph.svg,no_url,
Jason Holder,jason_holder.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Jason_Holder.jpg/500px-Jason_Holder.jpg
Mohammad Rizwan†,mohammad_rizwan.svg,no_url,
Babar Azam(c),babar_azam_c.svg,no_url,
Shan Masood,shan_masood.svg,http_404,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Shan_Masood_Captain.jpg/500px-Shan_Masood_Captain.jpg
Iftikhar Ahmed,iftikhar_ahmed.svg,no_url,
Shadab Khan,shadab_khan.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Shadab_Khan.png/400px-Shadab_Khan.png
Haider Ali,haider_ali.svg,no_url,
Mohammad Nawaz,mohammad_nawaz.svg,no_url,
Asif Ali,asif_ali.svg,no_url,
Shaheen Shah Afridi,shaheen_shah_afridi.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Shaheen_Afridi_%282%29.jpg/500px-Shaheen_Afridi_%282%29.jpg
Haris Rauf,haris_rauf.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Haris-Rauf.png/500px-Haris-Rauf.png
KL Rahul,kl_rahul.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/LOKESH_RAHUL_%2815573141953%29.jpg/500px-LOKESH_RAHUL_%2815573141953%29.jpg
Rohit Sharma(c),rohit_sharma_c.svg,no_url,
Virat Kohli,virat_kohli.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Virat_Kohli_in_PMO_New_Delhi.jpg/500px-Virat_Kohli_in_PMO_New_Delhi.jpg
Suryakumar Yadav,suryakumar_yadav.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Suryakumar_Yadav_in_PMO_New_Delhi.jpg/500px-Suryakumar_Yadav_in_PMO_New_Delhi.jpg
Axar Patel,axar_patel.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Axar_Patel_in_PMO_New_Delhi.jpg/400px-Axar_Patel_in_PMO_New_Delhi.jpg
Hardik Pandya,hardik_pandya.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Hardik_Pandya_in_PMO_New_Delhi.jpg/500px-Hardik_Pandya_in_PMO_New_Delhi.jpg
Dinesh Karthik†,dinesh_karthik.svg,no_url,
Ravichandran Ashwin,ravichandran_ashwin.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/The_Minister_of_State_for_Youth_Affairs_and_Sports_%28Independent_Charge%29%2C_Shri_Sarbananda_Sonowal_conferring_the_Arjuna_Award_on_cricketer_Ravichandran_Ashwin%2C_in_New_Delhi_on_July_31%2C_2015_cropped.jpg/500px-thumbnail.jpg
Bhuvneshwar Kumar,bhuvneshwar_kumar.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/VRP90107.jpg/500px-VRP90107.jpg
Arshdeep Singh,arshdeep_singh.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Prime_Minister_Of_Bharat_Shri_Narendra_Damodardas_Modi_with_Arshdeep_Singh_Family_%28Cropped%29.jpg/500px-Prime_Minister_Of_Bharat_Shri_Narendra_Damodardas_Modi_with_Arshdeep_Singh_Family_%28Cropped%29.jpg
Mohammed Shami,mohammed_shami.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Mohammed_Shami_Arjuna_Award_%28cropped%29.jpg/500px-Mohammed_Shami_Arjuna_Award_%28cropped%29.jpg
Naseem Shah,naseem_shah.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/c/c3/Naseem-Shah_%28cropped%29.png
Najmul Hossain Shanto,najmul_hossain_shanto.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Najmul_Hossain_Shanto.jpg/500px-Najmul_Hossain_Shanto.jpg
Soumya Sarkar,soumya_sarkar.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Soumya_Sarkar_%281%29_%28cropped%29.jpg/500px-Soumya_Sarkar_%281%29_%28cropped%29.jpg
Litton Das,litton_das.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Liton_Das_%283%29_%28cropped%29.jpg/500px-Liton_Das_%283%29_%28cropped%29.jpg
Shakib Al Hasan(c),shakib_al_hasan_c.svg,no_url,
Afif Hossain,OIP.png,no_url,
Yasir Ali,yasir_ali.svg,no_url,
Nurul Hasan†,nurul_hasan.svg,no_url,
Mosaddek Hossain,mosaddek_hossain.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Mosaddek_Hossain_Saikat_%282%29_%28cropped%29.jpg/500px-Mosaddek_Hossain_Saikat_%282%29_%28cropped%29.jpg
Taskin Ahmed,taskin_ahmed.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/4/43/Taskin_Ahmed_in_2024_%28cropped%29.jpg
Hasan Mahmud,hasan_mahmud.svg,no_url,
Shariz Ahmad,shariz_ahmad.svg,no_url,
Shakib Al Hasan,shakib_al_hasan.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Shakib_Al_Hasan_%284%29_%28cropped%29.jpg/500px-Shakib_Al_Hasan_%284%29_%28cropped%29.jpg
Mustafizur Rahman,mustafizur_rahman.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Mustafizur_Rahman_%284%29_%28cropped%29.jpg/500px-Mustafizur_Rahman_%284%29_%28cropped%29.jpg
Fionn Hand,fionn_hand.svg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Fionn_Hand_2022.jpg/500px-Fionn_Hand_2022.jpg
George Munsey,george_munsey.svg,no_url,
Michael Jones,michael_jones.svg,no_url,
Matthew Cross†,matthew_cross.svg,no_url,
Richie Berrington(c),richie_berrington_c.svg,no_url,
Calum MacLeod,calum_macleod.svg,no_url,
Michael Leask,michael_leask.svg,no_url,
Chris Greaves,chris_greaves.svg,no_url,
