name,filename,status,page_url,image_url
Michael van Lingen,michael_van_lingen.jpg,not_found,,
Divan la Cock,divan_la_cock.jpg,not_found,,
Jan Nicol Loftie-Eaton,jan_nicol_loftie_eaton.jpg,not_found,,
Stephan Baard,stephan_baard.jpg,not_found,,
Gerhard Erasmus(c),gerhard_erasmus_c_.jpg,not_found,,
Jan Frylinck,jan_frylinck.jpg,not_found,,
David Wiese,david_wiese.jpg,downloaded,https://en.wikipedia.org/?curid=25807017,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/DAVID_WIESE_%2815702924581%29.jpg/500px-DAVID_WIESE_%2815702924581%29.jpg
JJ Smit,jj_smit.jpg,not_found,,
Pathum Nissanka,pathum_nissanka.jpg,not_found,,
Kusal Mendis†,kusal_mendis_.jpg,not_found,,
Dhananjaya de Silva,dhananjaya_de_silva.jpg,not_found,,
Danushka Gunathilaka,danushka_gunathilaka.jpg,not_found,,
Bhanuka Rajapaksa,bhanuka_rajapaksa.jpg,not_found,,
Dasun Shanaka(c),dasun_shanaka_c_.jpg,not_found,,
Wanindu Hasaranga de Silva,wanindu_hasaranga_de_silva.jpg,downloaded,https://en.wikipedia.org/?curid=48891486,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Waniya.jpg/500px-Waniya.jpg
Chamika Karunaratne,chamika_karunaratne.jpg,downloaded,https://en.wikipedia.org/?curid=52729323,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Chamika_Karunaratne.jpg/500px-Chamika_Karunaratne.jpg
Pramod Madushan,pramod_madushan.jpg,not_found,,
Dushmantha Chameera,dushmantha_chameera.jpg,not_found,,
Maheesh Theekshana,maheesh_theekshana.jpg,not_found,,
Gerhard Erasmus,gerhard_erasmus.jpg,not_found,,
Bernard Scholtz,bernard_scholtz.jpg,not_found,,
Ben Shikongo,ben_shikongo.jpg,not_found,,
Charith Asalanka,charith_asalanka.jpg,not_found,,
David Warner,david_warner.jpg,not_found,,
Aaron Finch(c),aaron_finch_c_.jpg,not_found,,
Mitchell Marsh,mitchell_marsh.jpg,downloaded,https://en.wikipedia.org/?curid=21544772,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Mitchell_Marsh.jpg/400px-Mitchell_Marsh.jpg
Glenn Maxwell,glenn_maxwell.jpg,downloaded,https://en.wikipedia.org/?curid=30809063,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Glenn_Maxwell_3.jpg/500px-Glenn_Maxwell_3.jpg
Marcus Stoinis,marcus_stoinis.jpg,downloaded,https://en.wikipedia.org/?curid=21357068,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/2018.01.21.15.22.25-Stoinis_%2839081521620%29.jpg/500px-2018.01.21.15.22.25-Stoinis_%2839081521620%29.jpg
Josh Hazlewood,josh_hazlewood.jpg,downloaded,https://en.wikipedia.org/?curid=20216949,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/2018_Josh_Hazlewood_%28cropped%29.jpg/500px-2018_Josh_Hazlewood_%28cropped%29.jpg
Pat Cummins,pat_cummins.jpg,downloaded,https://en.wikipedia.org/?curid=30712264,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Pat_Cummins_fielding_Ashes_2021_%28cropped%29.jpg/500px-Pat_Cummins_fielding_Ashes_2021_%28cropped%29.jpg
Mitchell Starc,mitchell_starc.jpg,downloaded,https://en.wikipedia.org/?curid=22127779,https://upload.wikimedia.org/wikipedia/commons/3/38/Mitchell_Starc_2023.jpg
Ashton Agar,ashton_agar.jpg,downloaded,https://en.wikipedia.org/?curid=38315911,https://upload.wikimedia.org/wikipedia/commons/8/8a/2018.02.03.20.31.23-AUSvNZL_T20_NZL_innings%2C_SCG-0002_%2838618210190%29_%28Agar_cropped%29.jpg
Binura Fernando,binura_fernando.jpg,not_found,,
Lahiru Kumara,lahiru_kumara.jpg,not_found,,
Dasun Shanaka,dasun_shanaka.jpg,not_found,,
Regis Chakabva†,regis_chakabva_.jpg,not_found,,
Craig Ervine(c),craig_ervine_c_.jpg,not_found,,
Wessly Madhevere,wessly_madhevere.jpg,not_found,,
Sean Williams,sean_williams.jpg,not_found,,
Sikandar Raza,sikandar_raza.jpg,downloaded,https://en.wikipedia.org/?curid=33495443,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Sikandar_Raza_2022.jpg/500px-Sikandar_Raza_2022.jpg
Milton Shumba,milton_shumba.jpg,not_found,,
Ryan Burl,ryan_burl.jpg,not_found,,
Luke Jongwe,luke_jongwe.jpg,not_found,,
Paul Stirling,paul_stirling.jpg,downloaded,https://en.wikipedia.org/?curid=20068695,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Paul_Stirling.jpg/500px-Paul_Stirling.jpg
Andy Balbirnie(c),andy_balbirnie_c_.jpg,not_found,,
Lorcan Tucker†,lorcan_tucker_.jpg,not_found,,
Harry Tector,harry_tector.jpg,downloaded,https://en.wikipedia.org/?curid=54155320,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Harry_Tector_2022.jpg/500px-Harry_Tector_2022.jpg
Curtis Campher,curtis_campher.jpg,not_found,,
George Dockrell,george_dockrell.jpg,downloaded,https://en.wikipedia.org/?curid=26110694,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/George_Dockrell_2022.jpg/500px-George_Dockrell_2022.jpg
Gareth Delany,gareth_delany.jpg,not_found,,
Mark Adair,mark_adair.jpg,not_found,,
Simi Singh,simi_singh.jpg,not_found,,
Barry McCarthy,barry_mccarthy.jpg,not_found,,
Josh Little,josh_little.jpg,not_found,,
Richard Ngarava,richard_ngarava.jpg,not_found,,
Tendai Chatara,tendai_chatara.jpg,not_found,,
Blessing Muzarabani,blessing_muzarabani.jpg,not_found,,
Hazratullah Zazai,hazratullah_zazai.jpg,not_found,,
Rahmanullah Gurbaz†,rahmanullah_gurbaz_.jpg,not_found,,
Ibrahim Zadran,ibrahim_zadran.jpg,downloaded,https://en.wikipedia.org/?curid=54851165,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Ibrahim_Zadran.jpg/500px-Ibrahim_Zadran.jpg
Usman Ghani,usman_ghani.jpg,not_found,,
Najibullah Zadran,najibullah_zadran.jpg,not_found,,
Mohammad Nabi(c),mohammad_nabi_c_.jpg,not_found,,
Azmatullah Omarzai,azmatullah_omarzai.jpg,not_found,,
Rashid Khan,rashid_khan.jpg,downloaded,https://en.wikipedia.org/?curid=48267567,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Rashid_Khan.jpg/500px-Rashid_Khan.jpg
Mujeeb Ur Rahman,mujeeb_ur_rahman.jpg,not_found,,
Fareed Ahmad,fareed_ahmad.jpg,not_found,,
Fazalhaq Farooqi,fazalhaq_farooqi.jpg,downloaded,https://en.wikipedia.org/?curid=55801659,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Fazalhaq_Farooqi.jpg/500px-Fazalhaq_Farooqi.jpg
Jos Buttler(c)†,jos_buttler_c_.jpg,not_found,,
Alex Hales,alex_hales.jpg,downloaded,https://en.wikipedia.org/?curid=17731875,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Alex_Hales_2.JPG/500px-Alex_Hales_2.JPG
Dawid Malan,dawid_malan.jpg,downloaded,https://en.wikipedia.org/?curid=5874057,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/3_03_Malan_continues_%28cropped%29.jpg/500px-3_03_Malan_continues_%28cropped%29.jpg
Ben Stokes,ben_stokes.jpg,downloaded,https://en.wikipedia.org/?curid=27345124,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/BEN_STOKES_%2811704837023%29_%28cropped%29.jpg/500px-BEN_STOKES_%2811704837023%29_%28cropped%29.jpg
Liam Livingstone,liam_livingstone.jpg,not_found,,
Harry Brook,harry_brook.jpg,downloaded,https://en.wikipedia.org/?curid=51129433,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/2_31_A_fine_century_Harry_Brook.jpg/500px-2_31_A_fine_century_Harry_Brook.jpg
Moeen Ali,moeen_ali.jpg,downloaded,https://en.wikipedia.org/?curid=3405863,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/2018.01.06.17.47.32-Moeen_Ali_%2838876905344%29_%28cropped%29.jpg/500px-2018.01.06.17.47.32-Moeen_Ali_%2838876905344%29_%28cropped%29.jpg
Chris Woakes,chris_woakes.jpg,downloaded,https://en.wikipedia.org/?curid=11568792,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Chris_Woakes_2022.jpg/500px-Chris_Woakes_2022.jpg
Mark Wood,mark_wood.jpg,not_found,,
Sam Curran,sam_curran.jpg,downloaded,https://en.wikipedia.org/?curid=47238680,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/The_Prime_Minister_welcomes_the_World_Cup_winning_cricketers_%2852764650104%29_-_Sam_Curran_%28cropped%29.jpg/400px-The_Prime_Minister_welcomes_the_World_Cup_winning_cricketers_%2852764650104%29_-_Sam_Curran_%28cropped%29.jpg
Adil Rashid,adil_rashid.jpg,downloaded,https://en.wikipedia.org/?curid=8769116,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/1_13_Adil_Rashid_%28cropped%29.jpg/500px-1_13_Adil_Rashid_%28cropped%29.jpg
Mohammad Nabi,mohammad_nabi.jpg,downloaded,https://en.wikipedia.org/?curid=21362929,https://upload.wikimedia.org/wikipedia/commons/4/49/Mohammad_Nabi-Australia.jpg
Muhammad Waseem,muhammad_waseem.jpg,downloaded,https://en.wikipedia.org/?curid=29130326,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/M.Waseem.jpg/500px-M.Waseem.jpg
Vriitya Aravind†,vriitya_aravind_.jpg,not_found,,
Chundangapoyil Rizwan(c),chundangapoyil_rizwan_c_.jpg,not_found,,
Alishan Sharafu,alishan_sharafu.jpg,not_found,,
Basil Hameed,basil_hameed.jpg,not_found,,
Zane Green†,zane_green_.jpg,not_found,,
Ruben Trumpelmann,ruben_trumpelmann.jpg,not_found,,
Junaid Siddique,junaid_siddique.jpg,downloaded,https://en.wikipedia.org/?curid=11709555,https://upload.wikimedia.org/wikipedia/commons/5/50/Junaid_Siddique_training%2C_23_January%2C_2009%2C_Dhaka_SBNS.jpg
Zahoor Khan,zahoor_khan.jpg,not_found,,
Ahmed Raza,ahmed_raza.jpg,not_found,,
Karthik Meiyappan,karthik_meiyappan.jpg,not_found,,
Aayan Afzal Khan,aayan_afzal_khan.jpg,not_found,,
Chirag Suri,chirag_suri.jpg,not_found,,
Kashif Daud,kashif_daud.jpg,not_found,,
Zawar Farid,zawar_farid.jpg,not_found,,
Vikramjit Singh,vikramjit_singh.jpg,not_found,,
Max O'Dowd,max_o_dowd.jpg,not_found,,
Bas de Leede,bas_de_leede.jpg,downloaded,https://en.wikipedia.org/?curid=55383438,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/1_02_Bas_de_Leede.jpg/500px-1_02_Bas_de_Leede.jpg
Colin Ackermann,colin_ackermann.jpg,downloaded,https://en.wikipedia.org/?curid=48489732,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Colin_Ackermann.jpg/500px-Colin_Ackermann.jpg
Tom Cooper,tom_cooper.jpg,not_found,,
Scott Edwards(c)†,scott_edwards_c_.jpg,not_found,,
Roelof van der Merwe,roelof_van_der_merwe.jpg,downloaded,https://en.wikipedia.org/?curid=22196176,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Roelof_van_der_Merwe.jpg/500px-Roelof_van_der_Merwe.jpg
Tim Pringle,tim_pringle.jpg,not_found,,
Logan van Beek,logan_van_beek.jpg,not_found,,
Fred Klaassen,fred_klaassen.jpg,not_found,,
Paul van Meekeren,paul_van_meekeren.jpg,not_found,,
Kyle Mayers,kyle_mayers.jpg,downloaded,https://en.wikipedia.org/?curid=38695260,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Kyle_Mayers_batting_at_Perth_Stadium%2C_First_Test_Australia_versus_West_Indies%2C_2_December_2022_08.jpg/500px-Kyle_Mayers_batting_at_Perth_Stadium%2C_First_Test_Australia_versus_West_Indies%2C_2_December_2022_08.jpg
Johnson Charles,johnson_charles.jpg,not_found,,
Evin Lewis,evin_lewis.jpg,not_found,,
Brandon King,brandon_king.jpg,not_found,,
Nicholas Pooran(c)†,nicholas_pooran_c_.jpg,not_found,,
Rovman Powell,rovman_powell.jpg,not_found,,
Odean Smith,odean_smith.jpg,not_found,,
Obed McCoy,obed_mccoy.jpg,not_found,,
Akeal Hosein,akeal_hosein.jpg,not_found,,
Alzarri Joseph,alzarri_joseph.jpg,not_found,,
Jason Holder,jason_holder.jpg,downloaded,https://en.wikipedia.org/?curid=38413336,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Jason_Holder.jpg/500px-Jason_Holder.jpg
Mohammad Rizwan†,mohammad_rizwan_.jpg,not_found,,
Babar Azam(c),babar_azam_c_.jpg,not_found,,
Shan Masood,shan_masood.jpg,downloaded,https://en.wikipedia.org/?curid=31574205,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Shan_Masood_Captain.jpg/500px-Shan_Masood_Captain.jpg
Iftikhar Ahmed,iftikhar_ahmed.jpg,not_found,,
Shadab Khan,shadab_khan.jpg,downloaded,https://en.wikipedia.org/?curid=50245258,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Shadab_Khan.png/400px-Shadab_Khan.png
Haider Ali,haider_ali.jpg,not_found,,
Mohammad Nawaz,mohammad_nawaz.jpg,not_found,,
Asif Ali,asif_ali.jpg,not_found,,
Shaheen Shah Afridi,shaheen_shah_afridi.jpg,downloaded,https://en.wikipedia.org/?curid=55354594,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Shaheen_Afridi_%282%29.jpg/500px-Shaheen_Afridi_%282%29.jpg
Haris Rauf,haris_rauf.jpg,downloaded,https://en.wikipedia.org/?curid=59958238,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Haris-Rauf.png/500px-Haris-Rauf.png
KL Rahul,kl_rahul.jpg,downloaded,https://en.wikipedia.org/?curid=38032109,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/LOKESH_RAHUL_%2815573141953%29.jpg/500px-LOKESH_RAHUL_%2815573141953%29.jpg
Rohit Sharma(c),rohit_sharma_c_.jpg,not_found,,
Virat Kohli,virat_kohli.jpg,downloaded,https://en.wikipedia.org/?curid=16017429,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Virat_Kohli_in_PMO_New_Delhi.jpg/500px-Virat_Kohli_in_PMO_New_Delhi.jpg
Suryakumar Yadav,suryakumar_yadav.jpg,downloaded,https://en.wikipedia.org/?curid=34419117,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Suryakumar_Yadav_in_PMO_New_Delhi.jpg/500px-Suryakumar_Yadav_in_PMO_New_Delhi.jpg
Axar Patel,axar_patel.jpg,downloaded,https://en.wikipedia.org/?curid=40340681,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Axar_Patel_in_PMO_New_Delhi.jpg/400px-Axar_Patel_in_PMO_New_Delhi.jpg
Hardik Pandya,hardik_pandya.jpg,downloaded,https://en.wikipedia.org/?curid=46453363,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Hardik_Pandya_in_PMO_New_Delhi.jpg/500px-Hardik_Pandya_in_PMO_New_Delhi.jpg
Dinesh Karthik†,dinesh_karthik_.jpg,not_found,,
